docId,title,summary,content,source,url,category,priority,accessibilityTarget,supportTarget,selectionCriteria,applicationMethod,contact,department,updatedAt,sourceType,detailStatus,importantFields
BOKJIRO-WLF00001173,국립특수학교 및 국립부설학교 특수학급 지원,"국립특수학교(급)의 특수교육 지원인력 배치, 돌봄교실 운영 및 특수교육대상자의 방과후학교 경비를 지원하여 장애학생의 학습권을 보장합니다.","제목: 국립특수학교 및 국립부설학교 특수학급 지원
요약: 국립특수학교(급)의 특수교육 지원인력 배치, 돌봄교실 운영 및 특수교육대상자의 방과후학교 경비를 지원하여 장애학생의 학습권을 보장합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001173&wlfareInfoReldBztpCd=01,교육/고용,MEDIUM,ALL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00003273,의료급여(본인부담 보상금),의료급여 수급권자에 대한 의료비를 지원하여 저소득층 국민보건 향상과 사회복지 증진에 기여합니다.,"제목: 의료급여(본인부담 보상금)
요약: 의료급여 수급권자에 대한 의료비를 지원하여 저소득층 국민보건 향상과 사회복지 증진에 기여합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003273&wlfareInfoReldBztpCd=01,의료/건강,MEDIUM,ALL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00003240,평생교육이용권 지원,"사회적 취약계층(저소득층, 장애인)을 대상으로 바우처를 제공하여 실질적인 평생교육 기회를 제공합니다.","제목: 평생교육이용권 지원
요약: 사회적 취약계층(저소득층, 장애인)을 대상으로 바우처를 제공하여 실질적인 평생교육 기회를 제공합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003240&wlfareInfoReldBztpCd=01,교육/고용,MEDIUM,DISABLED_GENERAL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00001163,직장어린이집 설치 지원,근로자의 육아부담 완화와 여성의 경제활동 참여 촉진 및 직장어린이집 운영의 내실화를 도모합니다.,"제목: 직장어린이집 설치 지원
요약: 근로자의 육아부담 완화와 여성의 경제활동 참여 촉진 및 직장어린이집 운영의 내실화를 도모합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001163&wlfareInfoReldBztpCd=01,복지서비스,MEDIUM,ALL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00003280,전립선등 노인성질환 예방관리,"고령화와 함께 급증하고 있는 전립선 질환 등을 조기에 진단하고, 예방과 관리를 위한 교육 및 홍보를 지원합니다.","제목: 전립선등 노인성질환 예방관리
요약: 고령화와 함께 급증하고 있는 전립선 질환 등을 조기에 진단하고, 예방과 관리를 위한 교육 및 홍보를 지원합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003280&wlfareInfoReldBztpCd=01,교육/고용,MEDIUM,ALL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00003281,국가보훈대상자 취업능력개발지원,취업지원대상자의 취업경쟁력 향상을 통한 취업촉진을 위하여 취업능력개발비용을 지원합니다.,"제목: 국가보훈대상자 취업능력개발지원
요약: 취업지원대상자의 취업경쟁력 향상을 통한 취업촉진을 위하여 취업능력개발비용을 지원합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003281&wlfareInfoReldBztpCd=01,교육/고용,MEDIUM,ALL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00001177,장기요양 본인부담금 감경,노인장기요양보험 장기요양급여 이용자 중 건강보험료순위 50%이하자 및 기타의료급여 수급권자 등에게 본인부담금을 감경하여 서비스 이용부담을 완화합니다.,"제목: 장기요양 본인부담금 감경
요약: 노인장기요양보험 장기요양급여 이용자 중 건강보험료순위 50%이하자 및 기타의료급여 수급권자 등에게 본인부담금을 감경하여 서비스 이용부담을 완화합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001177&wlfareInfoReldBztpCd=01,의료/건강,MEDIUM,ALL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00001164,기초연금,노인에게 기초연금을 지급하여 안정적인 소득기반을 제공함으로써 노인의 생활안정을 지원합니다.,"제목: 기초연금
요약: 노인에게 기초연금을 지급하여 안정적인 소득기반을 제공함으로써 노인의 생활안정을 지원합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001164&wlfareInfoReldBztpCd=01,생활지원,MEDIUM,ALL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00004669,재외국민긴급지원비,"해외에서의 사건, 사고로부터 재외국민을 긴급히 보호할 필요가 있는 경우, 영사조력 과정의 비용을 지원합니다.","제목: 재외국민긴급지원비
요약: 해외에서의 사건, 사고로부터 재외국민을 긴급히 보호할 필요가 있는 경우, 영사조력 과정의 비용을 지원합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004669&wlfareInfoReldBztpCd=01,복지서비스,URGENT,ALL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
BOKJIRO-WLF00003265,장애수당,장애인연금 비수급 경증장애인을 대상으로 장애로 인한 추가적 비용을 보전하여 저소득 장애인 가구의 생활 안정을 도모합니다.,"제목: 장애수당
요약: 장애인연금 비수급 경증장애인을 대상으로 장애로 인한 추가적 비용을 보전하여 저소득 장애인 가구의 생활 안정을 도모합니다.
출처: 복지로/공공데이터포털",복지로/공공데이터포털,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003265&wlfareInfoReldBztpCd=01,생활지원,MEDIUM,DISABLED_GENERAL,,,,,,,PUBLIC_API,,"{""supportTarget"": """", ""eligibility"": """", ""selectionCriteria"": """", ""applyMethod"": """", ""applicationMethod"": """", ""contact"": """", ""sourceAgency"": ""복지로/공공데이터포털""}"
